CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,14,1,5,240,0,41,98,0.418,13,37,0.351,18,26,0.692,8,31,53,27,24,10,10,3,113,53.0,113.0,1,0.5354330708661418,-8.0,2017-18,2018-04-10,21701214
OPPONENTS, 76ers,1610612755,1,0,0,0,1,0,0,14,1,5,240,0,43,87,0.494,17,37,0.459,18,30,0.6,11,43,68,29,22,7,18,8,121,68.0,121.0,1,0.5853658536585366,8.0,2017-18,2018-04-10,21701214
Boston,Celtics,1610612738,0,1,0,1,0,0,0,5,1,5,240,0,42,82,0.512,9,23,0.391,13,20,0.65,10,31,46,33,18,9,12,6,106,46.0,106.0,0,0.6410256410256411,-6.0,2017-18,2018-04-08,21701202
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,10,1,5,240,0,43,86,0.5,15,35,0.429,11,14,0.786,5,32,47,23,19,7,13,4,112,47.0,112.0,0,0.5641025641025641,6.0,2017-18,2018-04-08,21701202
Washington,Wizards,1610612764,0,1,0,1,0,0,0,4,1,5,240,0,35,87,0.402,9,25,0.36,18,23,0.783,9,36,49,18,15,8,12,4,97,49.0,97.0,0,0.4907407407407407,-6.0,2017-18,2018-04-06,21701184
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,6,1,5,240,0,38,79,0.481,11,33,0.333,16,23,0.696,7,43,56,24,22,5,18,5,103,56.0,103.0,1,0.543859649122807,6.0,2017-18,2018-04-06,21701184
Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,8,1,5,240,0,33,90,0.367,9,30,0.3,11,17,0.647,10,38,56,20,16,5,16,6,86,56.0,86.0,0,0.4568965517241379,-29.0,2017-18,2018-04-04,21701172
OPPONENTS, Heat,1610612748,1,0,0,0,1,0,1,8,1,5,240,0,42,94,0.447,17,38,0.447,14,17,0.824,10,44,62,23,17,9,12,10,115,62.0,115.0,0,0.5462184873949579,29.0,2017-18,2018-04-04,21701172
Miami,Heat,1610612748,1,0,1,0,0,0,0,6,1,5,240,0,41,91,0.451,8,33,0.242,11,13,0.846,11,35,52,22,16,10,14,8,101,52.0,101.0,0,0.5431034482758621,3.0,2017-18,2018-04-03,21701158
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,3,6,1,5,240,0,37,88,0.42,13,33,0.394,11,15,0.733,12,37,55,24,15,10,18,1,98,55.0,98.0,0,0.5169491525423728,-3.0,2017-18,2018-04-03,21701158
