MATCHUP,GAME_ID,SEASON
04/10/2018 76ers at Hawks,0021701214,2017-18
04/08/2018 Hawks at Celtics,0021701202,2017-18
04/06/2018 Hawks at Wizards,0021701184,2017-18
04/04/2018 Heat at Hawks,0021701172,2017-18
04/03/2018 Hawks at Heat,0021701158,2017-18
04/01/2018 Magic at Hawks,0021701147,2017-18
03/30/2018 76ers at Hawks,0021701130,2017-18
03/28/2018 Hawks at Timberwolves,0021701120,2017-18
03/25/2018 Hawks at Rockets,0021701101,2017-18
03/23/2018 Hawks at Warriors,0021701087,2017-18
03/22/2018 Hawks at Kings,0021701077,2017-18
03/20/2018 Hawks at Jazz,0021701062,2017-18
03/17/2018 Hawks at Bucks,0021701041,2017-18
03/15/2018 Hornets at Hawks,0021701021,2017-18
03/13/2018 Thunder at Hawks,0021701007,2017-18
03/11/2018 Bulls at Hawks,0021700993,2017-18
03/09/2018 Hawks at Pacers,0021700978,2017-18
03/06/2018 Hawks at Raptors,0021700958,2017-18
03/04/2018 Suns at Hawks,0021700943,2017-18
03/02/2018 Warriors at Hawks,0021700928,2017-18
02/28/2018 Pacers at Hawks,0021700915,2017-18
02/26/2018 Lakers at Hawks,0021700897,2017-18
02/23/2018 Hawks at Pacers,0021700874,2017-18
02/14/2018 Hawks at Pistons,0021700853,2017-18
02/13/2018 Hawks at Bucks,0021700848,2017-18
02/11/2018 Pistons at Hawks,0021700834,2017-18
02/09/2018 Cavaliers at Hawks,0021700819,2017-18
02/08/2018 Hawks at Magic,0021700811,2017-18
02/06/2018 Grizzlies at Hawks,0021700799,2017-18
02/04/2018 Hawks at Knicks,0021700786,2017-18
02/02/2018 Hawks at Celtics,0021700767,2017-18
01/31/2018 Hornets at Hawks,0021700755,2017-18
01/29/2018 Timberwolves at Hawks,0021700739,2017-18
01/27/2018 Wizards at Hawks,0021700726,2017-18
01/26/2018 Hawks at Hornets,0021700714,2017-18
01/24/2018 Raptors at Hawks,0021700705,2017-18
01/22/2018 Jazz at Hawks,0021700688,2017-18
01/20/2018 Bulls at Hawks,0021700675,2017-18
01/17/2018 Pelicans at Hawks,0021700654,2017-18
01/15/2018 Spurs at Hawks,0021700641,2017-18
01/12/2018 Nets at Hawks,0021700621,2017-18
01/10/2018 Hawks at Nuggets,0021700612,2017-18
01/08/2018 Hawks at Clippers,0021700598,2017-18
01/07/2018 Hawks at Lakers,0021700590,2017-18
01/05/2018 Hawks at Trail Blazers,0021700576,2017-18
01/02/2018 Hawks at Suns,0021700551,2017-18
12/30/2017 Trail Blazers at Hawks,0021700533,2017-18
12/29/2017 Hawks at Raptors,0021700522,2017-18
12/27/2017 Wizards at Hawks,0021700508,2017-18
12/23/2017 Mavericks at Hawks,0021700484,2017-18
12/22/2017 Hawks at Thunder,0021700477,2017-18
12/20/2017 Pacers at Hawks,0021700455,2017-18
12/18/2017 Heat at Hawks,0021700443,2017-18
12/15/2017 Hawks at Grizzlies,0021700425,2017-18
12/14/2017 Pistons at Hawks,0021700413,2017-18
12/12/2017 Hawks at Cavaliers,0021700397,2017-18
12/10/2017 Hawks at Knicks,0021700390,2017-18
12/09/2017 Magic at Hawks,0021700378,2017-18
12/06/2017 Hawks at Magic,0021700355,2017-18
12/04/2017 Nets at Hawks,0021700342,2017-18
12/02/2017 Hawks at Nets,0021700328,2017-18
11/30/2017 Cavaliers at Hawks,0021700313,2017-18
11/25/2017 Raptors at Hawks,0021700280,2017-18
11/24/2017 Knicks at Hawks,0021700268,2017-18
